"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"peak15369",16.5985192301219,0.594352942863311,0.721297021227741,0.824005819200037,0.409936251491539,0.484494122441364
"peak15371",4.41054963193193,0.873746542312674,1.04132086155505,0.839075230863874,0.401427094496187,0.476483659285532
"peak15380",6.81119610437084,-0.133252399003319,0.896727255507227,-0.148598582439591,0.881870391640698,0.908443689985102
"peak15388",10.0896254198982,2.37299631892723,0.915757630282215,2.59129298021347,0.00956160505198616,0.0242632891683411
"peak15391",27.1289518575266,2.19519338286494,0.569645423476178,3.853613655788,0.000116387198343085,0.000862173808452675
"peak15393",39.1552737826195,-1.86421794682652,0.479510360585769,-3.887753216738,0.000101176416106854,0.000764938178917756
"peak15402",7.69136831036449,0.949481502809867,0.926681616741529,1.02460379666158,0.30555017235636,0.379798588222539
"peak15405",11.8548456681675,0.869498970481568,0.726872719612449,1.1962190174714,0.231611101399773,0.301582091815556
"peak15408",34.5354998277164,0.0537209466355069,0.484838884928683,0.110801646290002,0.911773639841712,0.932615148427575
"peak15418",32.7487949697714,0.0459393797366281,0.573909949724046,0.0800463204353177,0.936200415757835,0.951939236713675
"peak15429",3.96560429728975,2.35615630064338,1.28222262230776,1.83755633355052,0.0661278082629508,0.10789666107437
"peak15432",11.1396150288107,-1.29985467184996,0.74092115721271,-1.75437650713055,0.0793660140982018,0.125309966034568
"peak15438",19.1314785662485,-0.648455959660718,0.546260164855174,-1.18708264189947,0.235195024431542,0.305309767563964
"peak15439",2.72773619609577,1.34136205003513,1.25326496367909,1.0702940630347,0.284486965920418,0.357084666003644
"peak15440",9.2683212097882,-0.822535925973079,0.801362452482959,-1.02642184372941,0.304692786081158,0.378818408536411
"peak15444",27.0906902431264,-1.5333962970893,0.472632964879396,-3.24437017947021,0.00117710660474557,0.00508140764903498
"peak15446",10.5313126537433,-1.23266459507518,0.68440786393717,-1.80106725832177,0.0716922795966356,0.114975031147984
"peak15447",11.3479220226519,0.949965691220022,0.677041088392236,1.40311379546535,0.160582908014535,0.223476188549178
"peak15448",7.97826846103732,2.21434780450032,0.93410393723286,2.37055826042226,0.0177612444721634,0.0385533206040078
"peak15453",5.70570808607258,4.97093167188748,1.37858821624634,3.60581326120898,0.000311176854673486,0.00185761107171677
"peak15455",3.73571042098688,2.52535620350747,1.28344715091657,1.96763552102944,0.0491099896282087,0.0855654900011588
"peak15469",6.87466240472843,-0.331750482340804,0.780324813990747,-0.425144089221207,0.670731639257538,0.725999398716517
"peak15471",3.93500880072376,3.37780679104189,1.3831798618678,2.44205897162254,0.014603760880228,0.0334216631537526
"peak15473",20.3853575480327,-1.64551504614864,0.624727836904163,-2.63397106538903,0.00843926793831069,0.022108391590891
"peak15477",3.61070406784325,4.30386673175181,1.3814607205093,3.1154463300014,0.00183666768412081,0.00703492375015853
"peak15487",17.5877510768122,1.33871416611374,0.615270885741626,2.17581263332508,0.029569273650125,0.0573464701093333
"peak15491",49.2527401934822,-0.334258846373406,0.519086727587253,-0.643936414878226,0.519616667064409,0.588713490226947
"peak15493",5.6221740808756,2.17923898403764,1.07345958243539,2.03010809134846,0.0423455532426253,0.0762164568500358
"peak15497",25.1859424551185,1.97898451726253,0.587505054726723,3.36845530321955,0.000755906523498408,0.00368839495153833
"peak15500",7.58817173395719,0.8981429690864,0.758634295635307,1.18389449864544,0.236454828161839,0.306583598163195
"peak15506",35.7702989285827,-3.99659622572354,0.551463942116732,-7.24724849712396,4.25323215799976e-13,4.106980666251e-11
"peak15515",5.67460462325548,1.20940461550841,0.906477220661108,1.33418092362693,0.182144569832956,0.248026648283175
"peak15517",4.70793434851888,2.52640288383804,1.19101134947766,2.12122486065816,0.0339028841075588,0.063882736777817
"peak15519",8.29673614714559,0.77975973080982,0.73880577055651,1.05543264804559,0.291227497832304,0.364216348118383
"peak15531",3.45925968744966,4.27363037128765,1.41440580736471,3.02150227963937,0.00251523746387186,0.00886291101226039
"peak15535",22.0098511036521,3.3785039939581,0.792255917118801,4.2644099222947,2.00431181103486e-05,0.000198461462928367
"peak15537",26.905785164884,-1.4747935012571,0.607108214343744,-2.42921025677652,0.0151317542156248,0.0342212337340632
"peak15538",8.99358741533163,1.72763510292792,0.833760892687921,2.07209898914578,0.0382562105930635,0.0706821695549585
"peak15542",9.84339910894225,3.31145984764415,1.00149796196188,3.30650682619181,0.000944670487510163,0.00436563086755326
"peak15549",3.83881784114609,4.43807028789549,1.45471874428743,3.05080985951645,0.00228225053335608,0.00824787060774254
"peak15550",12.0375458340819,1.67787092359781,0.730952919373691,2.29545690170508,0.0217069536050476,0.0449451610089264
"peak15554",125.962535226395,0.144705559440534,0.535041600550171,0.270456651018793,0.786808962080609,0.82722631633508
"peak15556",12.4128205817974,0.300172721415688,0.786353643090259,0.381727386975727,0.702663583782455,0.755363352566139
"peak15564",118.145313404804,-5.80300820078003,0.524033381946019,-11.0737376676851,1.68234241113295e-28,4.62980631543787e-25
"peak15569",4.10411134629467,2.31730187166377,1.29937746433809,1.78339392152242,0.0745222020237458,0.118512048523172
"peak15570",12.8324817441217,1.15350878551509,0.744887182630316,1.54856844420636,0.12148549653721,0.177456521481105
"peak15571",22.4324422188464,2.37607950981748,0.799943516879085,2.97030910268211,0.00297500240378714,0.00991187241552326
"peak15573",15.4427668238715,0.542703320750334,0.566896680285513,0.957323158916728,0.338404169652591,0.413079740467479
"peak15575",13.9338664601477,-1.0619556117759,0.625500280052451,-1.69777000209632,0.0895511797477239,0.138509279144111
"peak15576",17.730955997582,-2.11976650178137,0.598101802093778,-3.54415668764197,0.000393871092974079,0.00223953150385262
"peak15579",16.0929677651889,4.58807037944354,1.17309547720243,3.91108010269125,9.18842896167562e-05,0.00070830690483281
"peak15580",21.2535995278872,-3.55521390043479,0.661906022067043,-5.37117624241028,7.82247097005962e-08,1.85581380255207e-06
"peak15582",10.5317423836839,-1.16434396943526,0.740603818680967,-1.57215496337702,0.115914617226043,0.170906523764302
"peak15583",4.56055310803606,2.48182406793913,1.19284679681125,2.080589120559,0.0374715305604047,0.0695124045178522
"peak15585",5.30719637476599,1.86829086337397,1.09292643946752,1.70943880201508,0.0873696986113719,0.135651007378559
"peak15587",3.69732629175697,4.35172898067101,1.38028714464898,3.15277078218222,0.00161728746066936,0.00644572786641864
